subject,commercial_att_30s,commercial_aribnb_30s,commercial_carscom_30s,commercial_cookies_30s,commercial_dominos_30s,commercial_doritos_30s,commercial_google_pixel_30s,commercial_jersey_mikes_30s,commercial_lego_30s,commercial_milk_30s,commercial_progressive_30s,commercial_publix_30s,commercial_puma_30s,commercial_meta_quest_2_30s,commercial_starbucks_30s,commercial_hr_block_30s,commercial_under_armour_30s,commercial_expedia_30s,health_alzheimers_30s,health_stroke_30s,health_alcohol_30s,health_drunk_driving_30s,health_diet_30s,health_kidney_30s,health_mantherapy_30s,health_fitness_30s,health_prediabetes_30s,health_vaping_30s,health_covid_vaccine_30s,health_weight_30s,,distractor_related_milk_30s,distractor_related_nike,distractor_related_sony,distractor_related_covid_vaccine_30s,distractor_related_stroke_30s,,distractor_unrelated_pare_technologies,distractor_unrelated_ahmc,distractor_unrelated_brain_30s,distractor_unrelated_beauty,distractor_unrelated_iedg
sub049,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,1,1,0,,0,0,0,0,0
sub050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,0,1,0,,0,0,0,0,0
sub051,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub052,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,,1,1,1,1,0,,1,1,0,0,0
sub053,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,,1,0,0,1,0,,0,0,0,0,0
sub054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,0,0,0,0,,0,0,0,0,0
sub055,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,,0,0,0,1,0,,0,0,0,0,0
sub056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub057,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,,0,0,0,0,0
sub059,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,1,0,,0,0,0,0,0
sub060,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,0,1,1,0,,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,
,commercial_att_30s,commercial_aribnb_30s,commercial_carscom_30s,commercial_cookies_30s,commercial_dominos_30s,commercial_doritos_30s,commercial_google_pixel_30s,commercial_jersey_mikes_30s,commercial_lego_30s,commercial_milk_30s,commercial_progressive_30s,commercial_publix_30s,commercial_puma_30s,commercial_meta_quest_2_30s,commercial_starbucks_30s,commercial_hr_block_30s,commercial_under_armour_30s,commercial_expedia_30s,health_alzheimers_30s,health_stroke_30s,health_alcohol_30s,health_drunk_driving_30s,health_diet_30s,health_kidney_30s,health_mantherapy_30s,health_fitness_30s,health_prediabetes_30s,health_vaping_30s,health_covid_vaccine_30s,health_weight_30s,,,,,,,,,,,,
,0.75,0.88,0.72,0.92,0.90,0.95,0.77,0.98,0.75,0.73,0.98,0.80,0.87,0.83,0.73,0.92,0.60,0.60,0.82,0.73,0.97,0.88,0.90,0.85,0.97,0.65,0.87,0.85,0.88,0.73,,0.18,0.05,0.13,0.67,0.13,,0.12,0.15,0.07,0.07,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,0.23,,,,,,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,0.25,,,,,,0.04
