ID,age,gender,commercial_att,distractor_related_milk,commercial_aribnb,commercial_carscom,commercial_cookies,commercial_dominos,distractor_unrelated_beauty,commercial_doritos,commercial_google_pixel,commercial_jersey_mikes,distractor_unrelated_iedg,commercial_lego,commercial_milk,distractor_related_sony,commercial_progressive,commercial_publix,distractor_unrelated_pare_technologies,commercial_puma,commercial_meta_quest_2,commercial_starbucks,distractor_related_nike,commercial_hr_block,commercial_under_armour,commercial_expedia,health_alzheimers,health_stroke,distractor_related_covid_vaccine,health_alcohol,health_drunk_driving,distractor_related_stroke,health_diet,distractor_unrelated_ahmc,health_kidney,health_mantherapy,health_fitness,health_prediabetes,distractor_unrelated_brain,health_vaping,health_covid_vaccine,health_weight
sub048,20,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1
sub049,19,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1
sub050,19,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1
sub051,20,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub052,21,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1
sub053,19,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2
sub054,19,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1
sub055,20,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2
sub056,20,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub057,22,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1
sub058,20,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1
sub059,20,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2
sub060,20,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
