subject,condition,spot,recall,recognition,isc_ind2rest
sub006,50wd,commercial_meta_quest_2_30s,0.0,1.0,0.41943358412150905
sub006,50wd,commercial_milk_30s,0.0,1.0,0.43393197257776955
sub006,100,commercial_progressive_30s,0.0,1.0,0.40438436664902006
sub006,100,commercial_publix_30s,0.0,1.0,0.3024076138615565
sub006,100,commercial_puma_30s,1.0,1.0,-0.06578326105877995
sub006,100,commercial_starbucks_30s,0.0,1.0,0.5893640941645908
sub006,100,commercial_under_armour_30s,0.0,0.0,0.26839013029203235
sub006,100,health_alcohol_30s,1.0,1.0,-0.11616003147521449
sub006,50nd,health_alzheimers_30s,0.0,1.0,0.15497896029602792
sub006,50nd,health_covid_vaccine_30s,1.0,1.0,0.1903162561726654
sub006,50nd,health_diet_30s,0.0,1.0,0.25518613907661236
sub006,50nd,health_drunk_driving_30s,0.0,0.0,0.14157149552078876
sub006,50wd,health_fitness_30s,1.0,0.0,0.19315035997351546
sub006,50wd,health_kidney_30s,0.0,1.0,0.23192019298993033
sub006,50wd,health_mantherapy_30s,1.0,1.0,-0.04574377910348687
sub006,50wd,health_prediabetes_30s,1.0,1.0,0.11385670613628172
sub006,100,health_stroke_30s,0.0,1.0,0.5289829153114997
sub006,100,health_vaping_30s,0.0,0.0,-0.02752064583999582
sub006,100,health_weight_30s,0.0,1.0,0.5164890978345565
sub007,100,commercial_aribnb_30s,0.0,1.0,0.6727648672164781
sub007,50nd,commercial_att_30s,1.0,1.0,0.3992732146315209
sub007,100,commercial_carscom_30s,0.0,1.0,0.45577657319808207
sub007,100,commercial_cookies_30s,0.0,1.0,0.8001248372908009
sub007,100,commercial_dominos_30s,0.0,1.0,0.49934829212129134
sub007,100,commercial_doritos_30s,1.0,1.0,0.5942881876710698
sub007,100,commercial_expedia_30s,0.0,0.0,0.5978256812537956
sub007,50wd,commercial_google_pixel_30s,0.0,1.0,0.4220776845914263
sub007,50wd,commercial_hr_block_30s,0.0,1.0,0.27813157230109775
sub007,50wd,commercial_jersey_mikes_30s,0.0,1.0,0.20137557093863873
sub007,50wd,commercial_lego_30s,0.0,1.0,0.412043409430618
sub007,50wd,commercial_meta_quest_2_30s,0.0,1.0,0.4900685585329304
sub007,50wd,commercial_milk_30s,0.0,0.0,0.5297544678482209
sub007,50nd,commercial_progressive_30s,0.0,1.0,0.21805619212476426
sub007,50nd,commercial_publix_30s,0.0,1.0,0.5191723262147107
sub007,50nd,commercial_puma_30s,0.0,1.0,0.13610466126378906
sub007,50nd,commercial_starbucks_30s,0.0,0.0,0.6079447024998061
sub007,50nd,commercial_under_armour_30s,0.0,0.0,0.7162793031360757
sub007,50nd,health_alcohol_30s,0.0,1.0,-0.2754755231889609
sub007,100,health_alzheimers_30s,0.0,1.0,0.6177001767269084
sub007,100,health_covid_vaccine_30s,0.0,1.0,0.3885607159183098
sub007,100,health_diet_30s,1.0,1.0,0.8132935033947272
sub007,100,health_drunk_driving_30s,0.0,1.0,0.6261013790925287
sub007,50wd,health_fitness_30s,1.0,0.0,-0.154066544616855
sub007,50wd,health_kidney_30s,0.0,0.0,0.2728037809409925
sub007,50wd,health_mantherapy_30s,0.0,1.0,0.218068126080269
sub007,50wd,health_prediabetes_30s,0.0,1.0,0.5621178483140182
sub007,50nd,health_stroke_30s,0.0,0.0,0.5689695941237342
sub007,50nd,health_vaping_30s,0.0,1.0,0.7537029682663123
sub007,50nd,health_weight_30s,0.0,0.0,0.6549942458831567
sub008,100,commercial_aribnb_30s,0.0,1.0,0.3471946593515282
sub008,50wd,commercial_att_30s,0.0,0.0,-0.05216316814089695
sub008,100,commercial_carscom_30s,0.0,1.0,0.38655420607286567
sub008,100,commercial_cookies_30s,0.0,1.0,0.5239515140069894
sub008,100,commercial_dominos_30s,1.0,1.0,0.39796415558845366
sub008,100,commercial_doritos_30s,1.0,1.0,0.4993896176137228
sub008,100,commercial_expedia_30s,0.0,1.0,0.7159078422231235
sub008,50nd,commercial_google_pixel_30s,0.0,1.0,0.7416947427382289
sub008,50nd,commercial_hr_block_30s,1.0,0.0,0.20823940672281802
sub008,50nd,commercial_jersey_mikes_30s,1.0,1.0,0.19616515612805696
sub008,50nd,commercial_lego_30s,0.0,1.0,0.6881256066852305
sub008,50nd,commercial_meta_quest_2_30s,0.0,1.0,0.0414874814902387
sub008,50nd,commercial_milk_30s,0.0,1.0,0.026447762194337057
sub008,50wd,commercial_progressive_30s,1.0,1.0,0.05727178617562062
sub008,50wd,commercial_publix_30s,0.0,1.0,-0.1447901800183632
sub008,50wd,commercial_puma_30s,0.0,1.0,0.45787501585492013
sub008,50wd,commercial_starbucks_30s,0.0,1.0,0.7333870255042105
sub008,50wd,commercial_under_armour_30s,0.0,1.0,0.20020081099768325
sub008,50wd,health_alcohol_30s,1.0,1.0,0.5117979885949173
sub008,100,health_alzheimers_30s,1.0,1.0,0.297838679260421
sub008,100,health_covid_vaccine_30s,0.0,1.0,0.4484262906224486
sub008,100,health_diet_30s,1.0,1.0,0.33488938340166974
sub008,100,health_drunk_driving_30s,1.0,1.0,0.23224838230092387
sub008,50nd,health_fitness_30s,1.0,0.0,-0.3608978336067282
sub008,50nd,health_kidney_30s,1.0,1.0,0.28943941184769234
sub008,50nd,health_mantherapy_30s,0.0,1.0,0.5848075920875362
sub008,50nd,health_prediabetes_30s,0.0,1.0,0.40032352472575183
sub008,50wd,health_stroke_30s,1.0,1.0,0.6843447317849009
sub008,50wd,health_vaping_30s,1.0,1.0,-0.2618124057150594
sub008,50wd,health_weight_30s,0.0,0.0,0.4691824767042508
sub009,50wd,commercial_aribnb_30s,0.0,1.0,-0.29846000997439515
sub009,50nd,commercial_att_30s,0.0,1.0,0.30143437011322083
sub009,50wd,commercial_carscom_30s,1.0,0.0,0.18144269820304615
sub009,50wd,commercial_cookies_30s,1.0,1.0,0.23929596872662914
sub009,50wd,commercial_dominos_30s,0.0,1.0,0.27931766966583876
sub009,50wd,commercial_doritos_30s,0.0,1.0,0.4409914674596915
sub009,50wd,commercial_expedia_30s,0.0,0.0,0.32424965380307996
sub009,100,commercial_google_pixel_30s,0.0,1.0,0.6965095731578098
sub009,100,commercial_hr_block_30s,1.0,1.0,0.6902976630978874
sub009,100,commercial_jersey_mikes_30s,1.0,1.0,-0.16544235256172526
sub009,100,commercial_lego_30s,0.0,1.0,0.7625135260662517
sub009,100,commercial_meta_quest_2_30s,0.0,1.0,0.07012300346333414
sub009,100,commercial_milk_30s,0.0,1.0,0.09593607141552965
sub009,50nd,commercial_progressive_30s,1.0,1.0,0.5886763771426906
sub009,50nd,commercial_publix_30s,1.0,1.0,0.5714181235420952
sub009,50nd,commercial_puma_30s,0.0,1.0,0.4546418134526056
sub009,50nd,commercial_starbucks_30s,0.0,1.0,0.22660045419430405
sub009,50nd,commercial_under_armour_30s,0.0,1.0,0.6479041673663566
sub009,50nd,health_alcohol_30s,1.0,1.0,0.21845698078573944
sub009,50wd,health_alzheimers_30s,0.0,1.0,-0.0662388107658853
sub009,50wd,health_covid_vaccine_30s,1.0,1.0,0.6439133918004127
sub009,50wd,health_diet_30s,0.0,1.0,-0.07165963791566106
sub009,50wd,health_drunk_driving_30s,0.0,0.0,-0.49443524764253505
sub009,100,health_fitness_30s,0.0,1.0,-0.4215654047976259
sub009,100,health_kidney_30s,1.0,1.0,0.4115064324877823
sub009,100,health_mantherapy_30s,0.0,1.0,0.5644716379647753
sub009,100,health_prediabetes_30s,0.0,1.0,0.20283413023313104
sub009,50nd,health_stroke_30s,0.0,1.0,0.696080185242016
sub009,50nd,health_vaping_30s,1.0,1.0,0.5539330769951466
sub009,50nd,health_weight_30s,0.0,1.0,0.20806859543430153
sub010,50wd,commercial_aribnb_30s,0.0,1.0,0.26039286321492666
sub010,100,commercial_att_30s,0.0,1.0,0.03412151561295792
sub010,50wd,commercial_carscom_30s,1.0,1.0,0.06033080455491456
sub010,50wd,commercial_cookies_30s,0.0,1.0,0.06995908925570657
sub010,50wd,commercial_dominos_30s,1.0,1.0,0.0461605392937153
sub010,50wd,commercial_doritos_30s,0.0,1.0,0.2687453603891494
sub010,50wd,commercial_expedia_30s,0.0,1.0,0.5349341377818579
sub010,50nd,commercial_google_pixel_30s,1.0,1.0,0.5190005021206885
sub010,50nd,commercial_hr_block_30s,0.0,1.0,0.5441730323182385
sub010,50nd,commercial_jersey_mikes_30s,0.0,1.0,0.5578931935555561
sub010,50nd,commercial_lego_30s,0.0,1.0,0.33276646781554126
sub010,50nd,commercial_meta_quest_2_30s,0.0,1.0,-0.23643866356644044
sub010,50nd,commercial_milk_30s,1.0,1.0,0.023915071711772398
sub010,100,commercial_progressive_30s,1.0,1.0,0.27655788943302356
sub010,100,commercial_publix_30s,0.0,1.0,0.07611648121783085
sub010,100,commercial_puma_30s,1.0,1.0,0.3158429482038063
sub010,100,commercial_starbucks_30s,0.0,1.0,0.1380080147440885
sub010,100,commercial_under_armour_30s,0.0,0.0,0.12161896508766307
sub010,100,health_alcohol_30s,1.0,1.0,0.1660394296326565
sub010,50wd,health_alzheimers_30s,0.0,1.0,-0.06303344128305155
sub010,50wd,health_covid_vaccine_30s,0.0,1.0,0.4058759303856127
sub010,50wd,health_diet_30s,0.0,1.0,0.17861270818316674
sub010,50wd,health_drunk_driving_30s,0.0,0.0,-0.37544167480141905
sub010,50nd,health_fitness_30s,1.0,1.0,-0.46388524142916965
sub010,50nd,health_kidney_30s,1.0,1.0,0.06062659050051608
sub010,50nd,health_mantherapy_30s,0.0,1.0,0.1041630249578234
sub010,50nd,health_prediabetes_30s,1.0,1.0,0.11829894053059466
sub010,100,health_stroke_30s,1.0,1.0,0.4614717762619709
sub010,100,health_vaping_30s,1.0,1.0,0.3267001095819289
sub010,100,health_weight_30s,0.0,0.0,0.06588094753468877
sub011,50nd,commercial_aribnb_30s,0.0,1.0,0.6705775881065116
sub011,50wd,commercial_att_30s,0.0,1.0,0.3992845198030519
sub011,50nd,commercial_carscom_30s,0.0,1.0,0.6297295831611411
sub011,50nd,commercial_cookies_30s,0.0,1.0,0.5896485050361467
sub011,50nd,commercial_dominos_30s,0.0,1.0,0.5937852005668683
sub011,50nd,commercial_doritos_30s,0.0,1.0,0.8094979468200072
sub011,50nd,commercial_expedia_30s,0.0,1.0,0.8716439090743568
sub011,100,commercial_google_pixel_30s,0.0,1.0,0.6688250482509437
sub011,100,commercial_hr_block_30s,0.0,1.0,0.865425246250947
sub011,100,commercial_jersey_mikes_30s,0.0,1.0,0.01923426921671914
sub011,100,commercial_lego_30s,0.0,1.0,0.8913974010247823
sub011,100,commercial_meta_quest_2_30s,0.0,1.0,0.6341422887319688
sub011,100,commercial_milk_30s,0.0,1.0,0.8098272651774922
sub011,50wd,commercial_progressive_30s,0.0,1.0,0.39892460910112
sub011,50wd,commercial_publix_30s,0.0,0.0,0.1590822957507424
sub011,50wd,commercial_puma_30s,0.0,1.0,0.7668548474256259
sub011,50wd,commercial_starbucks_30s,1.0,1.0,0.3315930417479639
sub011,50wd,commercial_under_armour_30s,0.0,0.0,0.22567808674769488
sub011,50wd,health_alcohol_30s,1.0,1.0,0.8435289987549978
sub011,50nd,health_alzheimers_30s,0.0,1.0,0.8065518343536764
sub011,50nd,health_covid_vaccine_30s,1.0,1.0,0.4604043452463443
sub011,50nd,health_diet_30s,1.0,1.0,0.43939141428010603
sub011,50nd,health_drunk_driving_30s,1.0,1.0,0.6998005868425379
sub011,100,health_fitness_30s,0.0,0.0,0.05975621008597324
sub011,100,health_kidney_30s,1.0,1.0,0.8390873084017542
sub011,100,health_mantherapy_30s,0.0,1.0,0.7834346930693425
sub011,100,health_prediabetes_30s,0.0,1.0,0.8512707660875491
sub011,50wd,health_stroke_30s,0.0,0.0,0.49424959256091916
sub011,50wd,health_vaping_30s,0.0,1.0,0.4413749096161697
sub011,50wd,health_weight_30s,0.0,1.0,0.5228321731864247
sub012,50nd,commercial_aribnb_30s,0.0,1.0,0.4551646345260187
sub012,100,commercial_att_30s,0.0,1.0,0.380456701280045
sub012,50nd,commercial_cookies_30s,0.0,1.0,0.7126311836286506
sub012,50nd,commercial_expedia_30s,0.0,1.0,0.6376079511412039
sub012,50wd,commercial_google_pixel_30s,0.0,1.0,0.875239525623638
sub012,50wd,commercial_hr_block_30s,0.0,1.0,0.77257254740527
sub012,50wd,commercial_jersey_mikes_30s,0.0,1.0,0.7150071661129752
sub012,50wd,commercial_lego_30s,0.0,0.0,0.7105548910838544
sub012,50wd,commercial_milk_30s,1.0,1.0,0.4459921208882858
sub012,100,commercial_progressive_30s,0.0,1.0,0.6935783758164719
sub012,100,commercial_publix_30s,1.0,1.0,0.3238570254242476
sub012,100,commercial_puma_30s,0.0,1.0,0.6206888866334368
sub012,100,commercial_starbucks_30s,0.0,1.0,0.6897150797619147
sub012,100,commercial_under_armour_30s,0.0,1.0,0.779187658853456
sub012,100,health_alcohol_30s,1.0,1.0,0.5582014327918139
sub012,50nd,health_alzheimers_30s,0.0,1.0,0.4091694598393502
sub012,50nd,health_covid_vaccine_30s,1.0,1.0,0.38937176556831155
sub012,50nd,health_diet_30s,1.0,1.0,0.7969304893245253
sub012,50wd,health_kidney_30s,0.0,1.0,0.7749758381381227
sub012,50wd,health_mantherapy_30s,0.0,1.0,0.6748165089682192
sub012,50wd,health_prediabetes_30s,1.0,1.0,0.5975473627781812
sub012,100,health_stroke_30s,0.0,1.0,0.5694900818203327
sub012,100,health_weight_30s,1.0,1.0,0.7748364681569845
sub013,100,commercial_aribnb_30s,1.0,1.0,0.7473686255357995
sub013,50nd,commercial_att_30s,0.0,0.0,0.5931924522425727
sub013,100,commercial_carscom_30s,0.0,1.0,0.7221864088672701
sub013,100,commercial_cookies_30s,0.0,1.0,0.7616123958012149
sub013,100,commercial_dominos_30s,1.0,1.0,0.6762877588023132
sub013,100,commercial_doritos_30s,1.0,1.0,0.8164580866947564
sub013,100,commercial_expedia_30s,0.0,1.0,0.8726846773846059
sub013,50wd,commercial_google_pixel_30s,0.0,1.0,0.6975265618964543
sub013,50wd,commercial_hr_block_30s,0.0,1.0,0.7930634610191826
sub013,50wd,commercial_jersey_mikes_30s,0.0,1.0,0.29260003061842205
sub013,50wd,commercial_lego_30s,1.0,1.0,0.8180436315316086
sub013,50wd,commercial_meta_quest_2_30s,0.0,1.0,0.689870202845211
sub013,50wd,commercial_milk_30s,0.0,0.0,0.36226082722440367
sub013,50nd,commercial_progressive_30s,1.0,1.0,0.8142690491702115
sub013,50nd,commercial_publix_30s,0.0,1.0,0.9034525420296364
sub013,50nd,commercial_puma_30s,0.0,1.0,0.6585970474501378
sub013,50nd,commercial_starbucks_30s,0.0,1.0,0.8256845408118465
sub013,50nd,commercial_under_armour_30s,0.0,0.0,0.7314541228259304
sub013,50nd,health_alcohol_30s,1.0,1.0,0.6003272244056048
sub013,100,health_alzheimers_30s,0.0,1.0,0.5482711534018484
sub013,100,health_covid_vaccine_30s,0.0,1.0,0.7949781947572823
sub013,100,health_diet_30s,0.0,1.0,0.6160906353150002
sub013,100,health_drunk_driving_30s,0.0,1.0,0.5898941583068326
sub013,50wd,health_fitness_30s,0.0,1.0,0.37484350828480323
sub013,50wd,health_kidney_30s,0.0,1.0,0.7543197734499173
sub013,50wd,health_mantherapy_30s,0.0,1.0,0.15374433544513652
sub013,50wd,health_prediabetes_30s,1.0,1.0,0.6511158206306092
sub013,50nd,health_stroke_30s,0.0,1.0,0.6547723235876728
sub013,50nd,health_vaping_30s,0.0,1.0,0.8998561660980965
sub013,50nd,health_weight_30s,1.0,1.0,0.8296215800644634
sub014,100,commercial_aribnb_30s,1.0,1.0,0.7516822339060725
sub014,50wd,commercial_att_30s,0.0,1.0,-0.04251418047217766
sub014,100,commercial_carscom_30s,0.0,1.0,0.48074154294734595
sub014,100,commercial_cookies_30s,0.0,1.0,0.5898807919582042
sub014,100,commercial_dominos_30s,0.0,1.0,0.6332811082160975
sub014,100,commercial_doritos_30s,0.0,1.0,-0.0997201189867054
sub014,100,commercial_expedia_30s,0.0,0.0,0.5109734844186918
sub014,50nd,commercial_google_pixel_30s,0.0,1.0,0.6148281411562291
sub014,50nd,commercial_hr_block_30s,0.0,1.0,0.3617556622548928
sub014,50nd,commercial_jersey_mikes_30s,0.0,1.0,0.7100813826521758
sub014,50nd,commercial_lego_30s,0.0,0.0,-0.04635027706741654
